Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,Operating_Margin,Sales_Method
Foot Locker,1185732,01-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1200.00,600000.00,300000.00,0.50,In-store
Foot Locker,1185732,02-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,1000.00,500000.00,150000.00,0.30,In-store
Foot Locker,1185732,03-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,1000.00,400000.00,140000.00,0.35,In-store
Foot Locker,1185732,04-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850.00,382500.00,133875.00,0.35,In-store
Foot Locker,1185732,05-01-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,In-store
Foot Locker,1185732,06-01-2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,0.25,In-store
Foot Locker,1185732,07-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1250.00,625000.00,312500.00,0.50,In-store
Foot Locker,1185732,08-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900.00,450000.00,135000.00,0.30,Outlet
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825.00,371250.00,129937.50,0.35,Outlet
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,60.00,900.00,540000.00,162000.00,0.30,Outlet
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,50.00,1000.00,500000.00,125000.00,0.25,Outlet
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,50.00,1220.00,610000.00,305000.00,0.50,Outlet
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925.00,462500.00,138750.00,0.30,Outlet
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,40.00,950.00,380000.00,133000.00,0.35,Outlet
Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800.00,360000.00,126000.00,0.35,Outlet
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,60.00,850.00,510000.00,153000.00,0.30,Outlet
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,50.00,950.00,475000.00,118750.00,0.25,Outlet
